2025-10-05 19:20:54 | INFO    | startup         | ============================================================
2025-10-05 19:20:54 | INFO    | startup         | SkinCloner - Starting...
2025-10-05 19:20:54 | INFO    | startup         | ============================================================
2025-10-05 19:20:54 | INFO    | test            | Test de logging dans fichier
2025-10-05 19:20:54 | DEBUG   | test            | Message de debug
2025-10-05 19:20:54 | WARNING | test            | Avertissement de test
2025-10-05 19:20:54 | ERROR   | test            | Erreur de test
2025-10-05 19:37:32 | INFO    | startup         | ============================================================
2025-10-05 19:37:32 | INFO    | startup         | SkinCloner - Starting...
2025-10-05 19:37:32 | INFO    | startup         | ============================================================
2025-10-05 19:37:32 | INFO    | tracer          | Starting...
2025-10-05 19:37:32 | INFO    | tracer          | System tray manager started - no console window
2025-10-05 19:37:32 | INFO    | tracer          | System tray icon initialized - console hidden
2025-10-05 19:37:32 | INFO    | tracer          | Starting automatic skin download in background...
2025-10-05 19:37:32 | INFO    | tracer          | LCU ready (port 52484)
2025-10-05 19:37:32 | INFO    | tracer          | Using repository ZIP downloader (most efficient)...
2025-10-05 19:37:32 | INFO    | tracer          | LCU connected - detected language: fr_FR
2025-10-05 19:37:32 | INFO    | tracer          | Auto-detected OCR language: fra (LCU: fr_FR)
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing AvifImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing BlpImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing BmpImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing BufrStubImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing CurImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing DcxImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing DdsImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing EpsImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing FitsImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing FliImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing FpxImagePlugin
2025-10-05 19:37:32 | WARNING | tracer          | OCR language 'fra' may not be available. Falling back to English.
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Image: failed to import FpxImagePlugin: No module named 'olefile'
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing FtexImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing GbrImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing GifImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing GribStubImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing Hdf5StubImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing IcnsImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing IcoImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing ImImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing ImtImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing IptcImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing JpegImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing Jpeg2KImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing McIdasImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing MicImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Image: failed to import MicImagePlugin: No module named 'olefile'
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing MpegImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing MpoImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing MspImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing PalmImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing PcdImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing PcxImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing PdfImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing PixarImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing PngImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing PpmImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing PsdImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing QoiImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing SgiImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing SpiderImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing SunImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing TgaImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing TiffImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing WebPImagePlugin
2025-10-05 19:37:32 | INFO    | tracer          | OCR: tesserocr (lang: eng)
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing WmfImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing XbmImagePlugin
2025-10-05 19:37:32 | INFO    | tracer          | Multi-language database: English initialized
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing XpmImagePlugin
2025-10-05 19:37:32 | DEBUG   | PIL.Image       | Importing XVThumbImagePlugin
2025-10-05 19:37:32 | INFO    | tracer          | Multi-language database: Auto-detected language 'fr_FR'
2025-10-05 19:37:32 | INFO    | tracer          | Multi-language auto-detection enabled
2025-10-05 19:37:32 | DEBUG   | PIL.PngImagePlugin | STREAM b'IHDR' 8376 13
2025-10-05 19:37:32 | DEBUG   | PIL.PngImagePlugin | STREAM b'IDAT' 8401 8480
2025-10-05 19:37:32 | INFO    | tracer          | Injector: Auto-detected game directory: C:\Riot Games\League of Legends\Game
2025-10-05 19:37:32 | INFO    | tracer          | System tray icon started
2025-10-05 19:37:32 | INFO    | tracer          | System ready - OCR active only in Champion Select
2025-10-05 19:37:32 | INFO    | websocket       | Websocket connected
2025-10-05 19:37:32 | INFO    | tracer          | WebSocket: Connected
2025-10-05 19:37:32 | INFO    | tracer          | OCR: Thread ready (active only in Champion Select)
2025-10-05 19:37:32 | INFO    | tracer          | Found 8277 existing skins, skipping download
2025-10-05 19:37:32 | INFO    | tracer          | No new skins to download
2025-10-05 19:37:32 | INFO    | tracer          | Background skin download completed successfully
2025-10-05 19:37:33 | INFO    | tracer          | WebSocket connected - detecting language...
2025-10-05 19:37:33 | INFO    | tracer          | Language changed to: fr_FR
2025-10-05 19:37:33 | INFO    | tracer          | OCR language kept at: eng (LCU: fr_FR, OCR language not available)
2025-10-05 19:37:34 | INFO    | tracer          | Keyboard interrupt received
2025-10-05 19:37:34 | INFO    | tracer          | System tray icon stopped
2025-10-05 19:37:34 | INFO    | tracer          | System tray stopped
2025-10-05 19:37:38 | INFO    | startup         | ============================================================
2025-10-05 19:37:38 | INFO    | startup         | SkinCloner - Starting...
2025-10-05 19:37:38 | INFO    | startup         | ============================================================
2025-10-05 19:37:38 | INFO    | tracer          | Starting...
2025-10-05 19:37:38 | INFO    | tracer          | System tray manager started - no console window
2025-10-05 19:37:38 | INFO    | tracer          | System tray icon initialized - console hidden
